Grado,Asignatura,ID,Errors
10,Lectura Crítica,CO-LEC-10-ARGUMENTACION-001,"V3.0: Missing Periodo"
10,Lectura Crítica,CO-LEC-10-BOOMVAN-001,"V3.0: Missing Periodo"
10,Lectura Crítica,CO-LEC-10-CLASICA-001,"V3.0: Missing Periodo"
10,Lectura Crítica,CO-LEC-10-ENSAYO-001,"V3.0: Missing Periodo"
10,Lectura Crítica,CO-LEC-10-FILOSOFIA-001,"V3.0: Missing Periodo"
10,Lectura Crítica,CO-LEC-10-MEDIEVAL-001,"V3.0: Missing Periodo"
10,Lectura Crítica,CO-LEC-10-MEDIOS-001,"V3.0: Missing Periodo"
10,Lectura Crítica,CO-LEC-10-OROSPA-001,"V3.0: Missing Periodo"
10,Lectura Crítica,CO-LEC-10-ROMANREAL-001,"V3.0: Missing Periodo"
10,Lectura Crítica,CO-LEC-10-SINTAXIS-002,"V3.0: Missing Periodo"
11,Lectura Crítica,CO-LEC-11-ARG-001,"V3.0: Missing Periodo"
11,Lectura Crítica,CO-LEC-11-BIOETICA-001,"V3.0: Missing Periodo"
11,Lectura Crítica,CO-LEC-11-comprension-001,"V3.0: Missing Periodo"
11,Lectura Crítica,CO-LEC-11-DISCON-001,"V3.0: Missing Periodo"
11,Lectura Crítica,CO-LEC-11-ECONOMIA-001,"V3.0: Missing Periodo"
11,Lectura Crítica,CO-LEC-11-EXISTENCIAL-001,"V3.0: Missing Periodo"
11,Lectura Crítica / Filosofía,CO-LEC-11-FIL-001,"V3.0: Missing Periodo"
11,Lectura Crítica,CO-LEC-11-KAFKA-001,"V3.0: Missing Periodo"
11,Lectura Crítica,CO-LEC-11-LIT-001,"V3.0: Missing Periodo"
11,Lectura Crítica,CO-LEC-11-literario-001,"V3.0: Missing Periodo"
5,Lectura Crítica,CO-LEC-05-COMPRENSION-001,"V3.0: Missing Periodo"
7,Lectura Crítica,CO-LEC-07-ARGUMENTACION-001,"V3.0: Missing Periodo"
7,Lectura Crítica,CO-LEC-07-COMPRENSION-001,"V3.0: Missing Periodo"
8,Lectura Crítica,CO-LEC-8-ARGUMENTA-001,"V3.0: Missing Periodo"
8,Lectura Crítica,CO-LEC-8-ARGUMENTA-002,"V3.0: Missing Periodo"
8,Lectura Crítica,CO-LEC-8-ARGUMENTA-003,"V3.0: Missing Periodo"
8,Lectura Crítica,CO-LEC-8-EXPOSITI-002,"V3.0: Missing Periodo"
8,Lectura Crítica,CO-LEC-8-EXPOSITI-003,"V3.0: Missing Periodo"
8,Lectura Crítica,CO-LEC-8-NARRATIVA-001,"V3.0: Missing Periodo"
8,Lectura Crítica,CO-LEC-8-NARRATIVA-002,"V3.0: Missing Periodo"
3,Lenguaje,CO-LEN-3-gramatica-001,"V3.0: Missing Periodo"
3,Lenguaje,CO-LEN-3-lectura-001,"V3.0: Missing Periodo"
4,Lenguaje,CO-LEN-4-narrativo-001,"V3.0: Missing Periodo"
5,Lenguaje,CO-LEN-5-ADJETIVOS-001,"V3.0: Missing Periodo"
5,Lenguaje,CO-LEN-5-comprension-001,"V3.0: Missing Periodo"
5,Lenguaje,CO-LEN-5-ORTOGRAFIA-001,"V3.0: Missing Periodo"
5,Lenguaje,CO-LEN-5-SUSTANTIVOS-001,"V3.0: Missing Periodo"
5,Lenguaje,CO-LEN-5-VERBOS-001,"V3.0: Missing Periodo"
6,Lectura Crítica,CO-LEC-06-TIPOLOGIAS-001,"V3.0: Missing Periodo"
6,Lenguaje,CO-LEC-6-DEEPFAKES-001,"V3.0: Missing Periodo"
6,Lenguaje,CO-LEC-6-MITOS-001,"V3.0: Missing Periodo"
6,Lenguaje,CO-LEC-6-REALIDAD-001,"V3.0: Missing Periodo"
6,Lenguaje,CO-LEN-6-CUENTO-001,"V3.0: Missing Periodo"
6,Lenguaje,CO-LEN-6-FABULA-001,"V3.0: Missing Periodo"
6,Lenguaje,CO-LEN-6-INSTRUCTIVO-001,"V3.0: Missing Periodo"
6,Lenguaje,CO-LEN-6-MEDIOS-001,"V3.0: Missing Periodo"
6,Lenguaje,CO-LEN-6-MITOS-002,"V3.0: Missing Periodo"
6,Lenguaje,CO-LEN-6-NOTICIA-001,"V3.0: Missing Periodo"
6,Lenguaje,CO-LEN-6-POESIA-001,"V3.0: Missing Periodo"
6,Lenguaje,CO-LEN-6-PUNTUACION-001,"V3.0: Missing Periodo"
6,Lenguaje,CO-LEN-6-REGLAS-001,"V3.0: Missing Periodo"
6,Lenguaje,CO-LEN-6-SINONIMOS-001,"V3.0: Missing Periodo"
8,Lenguaje,CO-LEN-8-GRAMATICA-001,"V3.0: Missing Periodo"
8,Lenguaje,CO-LEN-8-LITERATURA-001,"V3.0: Missing Periodo"
8,Lenguaje,CO-LEN-8-LITERATURA-002,"V3.0: Missing Periodo"
8,Lenguaje,CO-LEN-8-MEDIOS-001,"V3.0: Missing Periodo"
8,Lenguaje,CO-LEN-8-SEMANTICA-001,"V3.0: Missing Periodo"
8,Lenguaje,CO-LEN-8-TIPOLOGIA-001,"V3.0: Missing Periodo"
10,Matemáticas,CO-MAT-10-CONICAS-001,"V3.0: Missing Periodo"
10,Matemáticas,CO-MAT-10-cuadraticas-001,"V3.0: Missing Periodo"
10,Matemáticas,CO-MAT-10-FUNCIONES-001,"V3.0: Missing Periodo"
10,Matemáticas,CO-MAT-10-funciones-001,"V3.0: Missing Periodo"
10,Matemáticas,CO-MAT-10-LEY-SENO-001,"V3.0: Missing Periodo"
10,Matemáticas,CO-MAT-10-TRIGONOMETRIA-001,"V3.0: Missing Periodo"
10,matematicas,CO-MAT-10-trigonometria-001,"V3.0: Missing Periodo"
11,Matemáticas,CO-MAT-11-ALG-001,"V3.0: Missing Periodo"
11,Matemáticas,CO-MAT-11-ALG-002,"V3.0: Missing Periodo"
11,Matemáticas,CO-MAT-11-ALG-003,"V3.0: Missing Periodo"
11,Matemáticas,CO-MAT-11-ALG-005,"V3.0: Missing Periodo"
11,Matemáticas,CO-MAT-11-ALG-006,"V3.0: Missing Periodo"
11,Matemáticas,CO-MAT-11-derivadas-002,"V3.0: Missing Periodo"
11,Matemáticas,CO-MAT-11-derivadas-003,"V3.0: Missing Periodo"
11,Matemáticas,CO-MAT-11-EST-006,"V3.0: Missing Periodo"
11,Matemáticas,CO-MAT-11-GEO-003,"V3.0: Missing Periodo"
11,Matemáticas,CO-MAT-11-GEO-005,"V3.0: Missing Periodo"
11,Matemáticas,CO-MAT-11-logaritmos-001,"V3.0: Missing Periodo"
11,Matemáticas,CO-MAT-11-porcentajes-001,"V3.0: Missing Periodo"
11,Matemáticas,CO-MAT-11-trigonometria-001,"V3.0: Missing Periodo"
3,Matemáticas,CO-MAT-3-multiplicacion-001,"V3.0: Missing Periodo"
4,Matemáticas,CO-MAT-4-fracciones-001,"V3.0: Missing Periodo"
4,Matemáticas,CO-MAT-4-geometria-001,"V3.0: Missing Periodo"
5,Matemáticas,CO-MAT-05-FRACCIONES-001,"V3.0: Missing Periodo"
5,Matemáticas,CO-MAT-5-decimales-concepto-001,"V3.0: Missing Periodo"
5,Matemáticas,CO-MAT-5-estadistica-moda-media-001,"V3.0: Missing Periodo"
5,Matemáticas,CO-MAT-5-fracciones-001,"V3.0: Missing Periodo"
5,Matemáticas,CO-MAT-5-fracciones-operaciones-001,"V3.0: Missing Periodo"
5,Matemáticas,CO-MAT-5-geometria-001,"V3.0: Missing Periodo"
5,Matemáticas,CO-MAT-5-geometria-poligonos-001,"V3.0: Missing Periodo"
5,Matemáticas,CO-MAT-5-perimetro-area-001,"V3.0: Missing Periodo"
5,Matemáticas,CO-MAT-5-probabilidad-basica-001,"V3.0: Missing Periodo"
5,Matemáticas,CO-MAT-5-volumen-capacidad-001,"V3.0: Missing Periodo"
6,Matemáticas,CO-MAT-06-OPERACIONES-001,"V3.0: Missing Periodo"
6,Matemáticas,CO-MAT-6-ARQ-001,"V3.0: Missing Periodo"
6,Matemáticas,CO-MAT-6-decimales-001,"V3.0: Missing Periodo"
6,Matemáticas,CO-MAT-6-enteros-001,"V3.0: Missing Periodo"
6,Matemáticas,CO-MAT-6-estadistica-001,"V3.0: Missing Periodo"
6,Matemáticas,CO-MAT-6-FRACCIONES-001,"V3.0: Missing Periodo"
6,Matemáticas,CO-MAT-6-geometria-espacial-001,"V3.0: Missing Periodo"
6,Matemáticas,CO-MAT-6-IA-ETICA-001,"V3.0: Missing Periodo"
6,Matemáticas,CO-MAT-6-ROBOTICA-001,"V3.0: Missing Periodo"
6,Matemáticas,CO-MAT-6-teoria-numeros-001,"V3.0: Missing Periodo"
6,matematicas,CO-MAT-06-fracciones-001,"V3.0: Missing Periodo"
7,Matemáticas,CO-MAT-07-FRACCIONES-001,"V3.0: Missing Periodo"
7,Matemáticas,CO-MAT-07-PORCENTAJES-001,"V3.0: Missing Periodo"
7,Matemáticas,CO-MAT-7-ECUACIONES-001,"V3.0: Missing Periodo"
7,Matemáticas,CO-MAT-7-ESTADISTICA-001,"V3.0: Missing Periodo"
7,Matemáticas,CO-MAT-7-fracciones-001,"V3.0: Missing Periodo"
